証券コード,企業名,事業所名,住所,住所取得元,住所取得元URL,住所解決レベル,土地面積(m2),地価単価(円/m2),地価単価補正係数,住所解像度補正係数,地価単価算出方法,公示点ID,公示点距離(m),k近傍ID,k近傍距離(m),k近傍単価(円/m2),k近傍距離分散(m2),k近傍最遠距離(m),地価推定信頼度スコア,地価推定信頼度,異常値警告,推定土地時価(円),土地簿価(円),含み益(円),評価倍率(実値),評価倍率,時価総額(円),時価総額比(実値),時価総額比
9303,住友倉庫,本店,東京都港区港南2丁目15番1号,web,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100W076.pdf,gaiku,127269.00,10199796,1.000000,1.000000,"idw(k=3,p=3)",13103-005-026,166.391,13103-005-026|13109-000-021|13103-005-024,166.391|302.536|333.267,12100000|1640000|6500000,5258.605,333.267,0.951765,high,,1298117837124,9518000000,1288599837124,136.385568094558,136.386,293800000000,4.418372488509,4.418
9303,住友倉庫,東京支店,東京都港区港南2丁目15番1号,web,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100W076.pdf,gaiku,106189.00,10199796,1.000000,1.000000,"idw(k=3,p=3)",13103-005-026,166.391,13103-005-026|13109-000-021|13103-005-024,166.391|302.536|333.267,12100000|1640000|6500000,5258.605,333.267,0.951765,high,,1083106137444,7184000000,1075922137444,150.766444521715,150.766,293800000000,3.686542333029,3.687
9303,住友倉庫,東京都合計,,,,,,,,,"idw(k=3,p=3)",,,,,,,,,,,2381223974568,16702000000,2364521974568,142.571187556460,142.571,293800000000,8.104914821538,8.105
