証券コード,企業名,事業所名,住所,住所取得元,住所取得元URL,住所解決レベル,土地面積(m2),地価単価(円/m2),地価単価補正係数,住所解像度補正係数,地価単価算出方法,公示点ID,公示点距離(m),k近傍ID,k近傍距離(m),k近傍単価(円/m2),k近傍距離分散(m2),k近傍最遠距離(m),地価推定信頼度スコア,地価推定信頼度,異常値警告,推定土地時価(円),土地簿価(円),含み益(円),評価倍率(実値),評価倍率,時価総額(円),時価総額比(実値),時価総額比
9303,住友倉庫,本店,東京都港区,securities_report,,muni_centroid,127269.00,2402964,1.000000,0.850000,"idw(k=3,p=3)",13103-005-025,101.288,13103-005-025|13103-000-026|13103-005-011,101.288|249.859|263.361,2800000|1890000|4390000,5391.497,263.361,0.961512,high,muni_centroidかつ土地面積10000m2以上,305822825316,9518000000,296304825316,32.130991217525,32.131,293800000000,1.040921628347,1.041
9303,住友倉庫,東京支店,東京都港区,securities_report,,muni_centroid,106189.00,2402964,1.000000,0.850000,"idw(k=3,p=3)",13103-005-025,101.288,13103-005-025|13103-000-026|13103-005-011,101.288|249.859|263.361,2800000|1890000|4390000,5391.497,263.361,0.961512,high,muni_centroidかつ土地面積10000m2以上,255168344196,7184000000,247984344196,35.518972956626,35.519,293800000000,0.868510216884,0.869
9303,住友倉庫,東京都合計,,,,,,,,,"idw(k=3,p=3)",,,,,,,,,,,560991169512,16702000000,544289169512,33.588257461909,33.588,293800000000,1.909431845231,1.909
